zone_idx,ring_idx,sector_idx,concentric_idx,point_count,pc_mean_x,pc_mean_y,pc_mean_z,singular_value_1,singular_value_2,singular_value_3,normal_x,normal_y,normal_z,d,linearity,planarity,sphericity,anisotropy,surface_variation,omnivariance,eigenentropy,uprightness,tilt_angle,pitch,roll,principal_direction_azimuth,ground_elevation,ground_flatness,line_variable,normal_consistency,multiscale_curvature,radial_height_diff,radial_laplacian,symmetric_diff_ratio,z_trim_mean,radial_trimmed_height_diff,radial_trimmed_gradient,parallel_gap_valid,parallel_plane_gap_mu,parallel_plane_gap_median,shared_normal_x,shared_normal_y,shared_normal_z,shared_normal_angle_to_current,shared_normal_angle_to_inner,ransac_gap_pretrim_valid,ransac_gap_pretrim_mu,ransac_gap_pretrim_median,ransac_shared_normal_pretrim_x,ransac_shared_normal_pretrim_y,ransac_shared_normal_pretrim_z,ransac_shared_angle_to_current_pretrim,ransac_shared_angle_to_inner_pretrim,ransac_inlier_ratio_A_pretrim,ransac_inlier_ratio_B_pretrim,ransac_gap_raw_valid,ransac_gap_raw_mu,ransac_gap_raw_median,ransac_shared_normal_raw_x,ransac_shared_normal_raw_y,ransac_shared_normal_raw_z,ransac_shared_angle_to_current_raw,ransac_shared_angle_to_inner_raw,ransac_inlier_ratio_A_raw,ransac_inlier_ratio_B_raw
1,1,2,5,194,1.95972,2.79143,-1.70718,0.135523,0.0251416,0.00300489,0.0305704,-0.219997,0.975021,2.21874,0.814485,0.163342,0.0221725,0.977828,0.0183595,0.0217143,0.517414,0.975021,0.223979,-0.0313433,-0.221917,2.32268,-1.70718,0.00300489,5.39041,0.115068,0.0515254,-3.23293,8.62735,1,-0.203457,-0.0542365,-0.101584,1,0.522648,0.525664,-0.917448,-0.396269,0.0355164,0.0599921,2.47035,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,1,3,5,99,0.441641,3.41092,-1.72655,0.0714521,0.0344485,0.000475299,-0.0906808,-0.0121319,0.995806,1.80074,0.51788,0.475468,0.00665199,0.993348,0.00446811,0.010537,0.656609,0.995806,0.0916163,0.0908122,-0.0121823,-0.317998,-1.72655,0.000475299,2.07417,0.0432168,0.0378508,-4.03235,8.57009,1,0.831381,-0.85263,-1.39911,1,0.620376,0.634839,0.32151,0.946597,0.0242118,0.243307,0.223262,1,0.0389304,0.0850093,-0.180797,0.196357,0.96372,0.21785,0.159363,0.436047,0.555556,0,nan,nan,0,0,1,nan,nan,0,0
1,1,4,5,279,-0.413855,3.4046,-1.78482,0.041356,0.0317982,0.000664946,-0.0645888,-0.0371074,0.997222,1.87946,0.23111,0.752811,0.0160786,0.983921,0.00900777,0.0095626,0.729812,0.997222,0.0745574,0.0646784,-0.0371936,0.343173,-1.78482,0.000664946,1.30058,0.0241052,0.0551981,-3.72146,8.54878,1,0.946586,-0.562719,-0.940328,1,0.631993,0.635482,-0.216689,0.975702,0.0324198,0.0848157,0.0247686,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,2,6,177,1.95128,3.67082,-1.62273,0.0368987,0.0259368,0.00137345,0.0485135,-0.0876905,0.994966,1.84179,0.29708,0.665698,0.0372222,0.962778,0.0213903,0.0109542,0.766754,0.994966,0.100384,-0.0487204,-0.087907,-0.563386,-1.62273,0.00137345,1.42264,0.0654165,0.0336117,-1.34414,5.04453,1,-0.124043,0.0794133,0.103322,1,0.162551,0.14485,0.968536,0.248874,0.000526415,0.141068,3.03317,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,3,6,1169,0.599808,4.04087,-1.69918,0.171878,0.0360385,0.000462501,-0.0865771,-0.0516129,0.994907,1.95101,0.790325,0.206984,0.00269087,0.997309,0.00221952,0.0142025,0.475886,0.994907,0.100967,0.0868016,-0.0518307,-0.235653,-1.69918,0.000462501,4.76929,0.057484,0.0895275,-3.24048,12.7993,1,0.941085,0.109704,0.119267,1,0.883492,0.900956,-0.00264222,0.99997,0.00728432,0.005839,0.08723,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,2,4,6,1157,-0.412288,4.04903,-1.76245,0.0509508,0.0341491,0.00106876,-0.0955603,-0.100146,0.990373,2.11158,0.329764,0.64926,0.0209763,0.979024,0.0124031,0.0122971,0.731947,0.990373,0.138869,0.0961915,-0.100777,0.473724,-1.76245,0.00106876,1.49201,0.0935358,0.063052,-2.97918,12.7314,1,0.988572,0.0419855,0.0343283,1,0.576854,0.608878,0.418663,-0.908135,0.00342533,0.026537,3.00809,1,0.886448,0.934774,-0.0981696,-0.108024,0.989289,0.152203,0.0339977,0.210317,0.103647,0,nan,nan,0,0,1,nan,nan,0,0
1,3,2,7,163,2.03676,4.20261,-1.59039,0.0330202,0.0160626,0.00190744,-0.148128,-0.111749,0.982634,2.33411,0.513553,0.428681,0.0577656,0.942234,0.0374078,0.0100388,0.768184,0.982634,0.186634,0.149619,-0.113237,1.55574,-1.59039,0.00190744,2.05572,0.132514,0.030549,-1.8748,nan,nan,0.0701677,0.194211,0.258248,1,0.0248096,0.0290333,0.991375,0.114837,0.0631483,0.0100009,0.0101017,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,3,7,679,1.7163,4.60702,1.12034,0.00498236,0.000555285,1.84588e-12,-0.0623194,-0.0241535,0.997764,-0.899598,0.88855,0.11145,3.70483e-10,1,3.33333e-10,1.72207e-06,0.325686,0.997764,0.0668847,0.062378,-0.0242029,0.081088,1.12034,1.84588e-12,8.97262,0.0293412,0.0291373,0.248989,nan,nan,0.515797,-0.425288,-0.587159,1,0.0421658,0.042443,-0.0239987,0.999705,0.00360803,3.1224,0.0158749,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
1,3,4,7,129,-1.02561,4.46386,0.0165849,nan,nan,nan,0,0,1,-0.0165849,0,0,0,0,0,0,0,1,0,-0,0,0,0.0165849,nan,nan,0.00229944,0.010484,-1.02325,nan,nan,0.899236,-0.0893362,-0.188227,1,0.325652,0.317463,0.423007,-0.906097,0.00729234,0.278689,0.0217659,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
2,0,2,8,29,1.98095,4.75031,0.79328,nan,nan,nan,0,0,1,-0.79328,0,0,0,0,0,0,0,1,0,-0,0,0,0.79328,nan,nan,0,0.00165736,1.40894,nan,nan,0.10375,0.0335824,0.0710712,1,0.0348248,0.0339326,0.991708,0.106879,0.0713559,0.237503,0.00221079,0,nan,nan,0,0,1,nan,nan,0,0,0,nan,nan,0,0,1,nan,nan,0,0
